id	remote	weight	gender
1        5    151      0
2        7    152      0
3        3    153      0
4        2    165      0
5        5    138      0
6        0    149      0
7        5    142      0
8        9    139      0
9        1    140      0
10       8    138      0
11       7    137      0
12       7    119      0
13       8    140      0
14       9    145      0
15       5    126      0
16       3    142      0
17       6    127      0
18      10    135      0
19       7    149      0
20       7    134      0
21       5    157      0
22       7    141      0
23       4    146      0
24       8    127      0
25       1    143      0
26       4    151      0
27       8    132      0
28       2    149      0
29       0    144      0
30       5    148      0
31       2    119      0
32       9    129      0
33       8    138      0
34       1    165      0
35      10    142      0
36       8    138      0
37       5    137      0
38       9    154      0
39       1    133      0
40       9    139      0
41       2    146      0
42       9    152      0
43       7    149      0
44      10    128      0
45       8    131      0
46       4    136      0
47       1    148      0
48       4    134      0
49       1    137      0
50       4    137      0
51      31    159      1
52      32    167      1
53      27    175      1
54      37    189      1
55      28    179      1
56      27    145      1
57      30    161      1
58      35    181      1
59      31    177      1
60      27    178      1
61      26    170      1
62      31    158      1
63      32    179      1
64      37    192      1
65      35    183      1
66      31    184      1
67      29    169      1
68      34    182      1
69      30    190      1
70      30    195      1
71      35    182      1
72      30    174      1
73      37    184      1
74      29    188      1
75      23    150      1
76      31    178      1
77      35    186      1
78      28    170      1
79      21    149      1
80      33    203      1
81      27    172      1
82      23    160      1
83      36    179      1
84      30    195      1
85      32    160      1
86      20    147      1
87      22    144      1
88      35    178      1
89      34    168      1
90      27    157      1
91      34    184      1
92      18    133      1
93      31    160      1
94      29    170      1
95      30    167      1
96      28    154      1
97      29    181      1
98      34    172      1
99      23    159      1
100     25    177      1
